                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4979,                 4.5544,                 1.3379,                0.89201,                0.66176,                0.76355,                 0.4372,                 1.3144,                 2.1735,                 1.1939,                0.00056,                0.00056,                0.00056
                      1,                 1.4667,                 1.3794,                 1.2619,                0.58669,                 0.5845,                0.63394,                 0.3091,                 1.6297,                 4.9604,                 1.5121,              0.0010949,              0.0010949,              0.0010949
                      2,                 1.5207,                 1.2856,                 1.3509,                0.48569,                0.41912,                0.41924,                0.22351,                 1.6465,                 2.0652,                 1.4852,              0.0015838,              0.0015838,              0.0015838
                      3,                 1.5895,                  1.247,                 1.3752,                0.00551,                0.05147,                0.00146,                 0.0004,                 3.3779,                  21.67,                 3.4417,              0.0017624,              0.0017624,              0.0017624
                      4,                 1.6012,                 1.1819,                 1.3381,                0.01014,                0.01471,                0.00092,                0.00046,                 3.3779,                 8.4544,                 5.9265,              0.0017624,              0.0017624,              0.0017624
                      5,                 1.4886,                 1.0909,                 1.2993,                0.60995,                0.66912,                0.66121,                0.33027,                 1.6749,                   2.38,                 1.5201,              0.0016832,              0.0016832,              0.0016832
                      6,                 1.4847,                 1.0324,                 1.2842,                0.68861,                0.72059,                 0.7244,                0.40186,                 1.5195,                 1.9099,                 1.3808,               0.001604,               0.001604,               0.001604
                      7,                 1.4141,                0.94637,                 1.2313,                 0.8721,                0.80217,                0.88022,                0.49963,                  1.418,                  1.042,                 1.2798,              0.0015248,              0.0015248,              0.0015248
                      8,                 1.4514,                 0.9725,                 1.2797,                0.85126,                0.84167,                0.88214,                0.52141,                  1.269,                 1.1665,                 1.2218,              0.0014456,              0.0014456,              0.0014456
                      9,                 1.4077,                0.95224,                 1.2608,                0.84301,                0.75735,                0.77502,                0.45225,                 1.5067,                 1.0656,                 1.3302,              0.0013664,              0.0013664,              0.0013664
                     10,                   1.41,                0.93338,                 1.2315,                0.88033,                0.66176,                 0.7561,                0.45568,                 1.5125,                 1.1362,                 1.3014,              0.0012872,              0.0012872,              0.0012872
                     11,                 1.3398,                0.92312,                 1.2026,                0.90206,                0.81266,                0.89683,                0.53343,                 1.4521,                0.81566,                 1.2821,               0.001208,               0.001208,               0.001208
                     12,                   1.33,                0.83282,                 1.1934,                0.88896,                0.83824,                 0.9011,                0.56344,                 1.3691,                0.77179,                 1.2142,              0.0011288,              0.0011288,              0.0011288
                     13,                 1.3474,                 0.8363,                 1.2136,                0.90483,                0.74265,                0.85402,                0.47346,                 1.5429,                  0.914,                 1.2919,              0.0010496,              0.0010496,              0.0010496
                     14,                 1.3575,                0.85127,                 1.2115,                0.89986,                0.85898,                0.90631,                0.54275,                 1.4426,                  0.859,                 1.2693,              0.0009704,              0.0009704,              0.0009704
                     15,                 1.3007,                0.76901,                 1.2209,                0.90778,                  0.875,                 0.9154,                 0.5714,                 1.2976,                0.69971,                 1.1983,              0.0008912,              0.0008912,              0.0008912
                     16,                 1.2356,                 0.7567,                 1.2164,                0.94218,                0.85294,                0.91696,                0.57994,                  1.354,                0.69456,                 1.1995,               0.000812,               0.000812,               0.000812
                     17,                 1.2143,                0.70118,                 1.2277,                0.92361,                0.88902,                0.91901,                0.59046,                 1.2743,                0.69923,                 1.1623,              0.0007328,              0.0007328,              0.0007328
                     18,                  1.176,                0.65538,                 1.1718,                0.88978,                0.89037,                0.91529,                0.57493,                 1.3313,                0.67237,                 1.1898,              0.0006536,              0.0006536,              0.0006536
                     19,                 1.1756,                0.64243,                 1.1771,                 0.9298,                0.87646,                0.92641,                0.58391,                 1.3097,                0.65455,                 1.1884,              0.0005744,              0.0005744,              0.0005744
                     20,                 1.1714,                0.62724,                 1.1897,                0.95231,                0.88106,                0.92652,                0.57844,                 1.2759,                0.66523,                 1.1779,              0.0004952,              0.0004952,              0.0004952
                     21,                 1.1372,                0.65156,                 1.1557,                0.93585,                0.86765,                0.93028,                0.57803,                 1.3424,                0.66223,                 1.1931,               0.000416,               0.000416,               0.000416
                     22,                 1.1383,                0.60356,                 1.1402,                0.95881,                0.85582,                0.93835,                0.62242,                 1.2781,                0.60393,                 1.1678,              0.0003368,              0.0003368,              0.0003368
                     23,                  1.147,                0.58867,                 1.1335,                0.90616,                0.92304,                0.94324,                0.58681,                 1.3412,                0.62177,                  1.184,              0.0002576,              0.0002576,              0.0002576
                     24,                  1.097,                0.56398,                 1.1309,                 0.9326,                0.91563,                 0.9458,                0.58456,                 1.3556,                0.61452,                 1.1798,              0.0001784,              0.0001784,              0.0001784
